model,model_group,training_regime,c1_object_permanence,c2_dynamic_spatial,c3_action_intent,c4_predictive_counterfactual,c5_deformation_state,c6_ego_allo,overall
Qwen3-VL-2B-Instruct,open,base,39.87,38.24,43.96,38.55,39.34,37.90,38.90
Qwen2.5-VL-3B-Instruct,open,base,39.13,38.98,47.13,41.89,44.55,40.15,40.61
Qwen2.5-VL-7B-Instruct,open,base,43.37,37.31,46.83,40.03,39.34,34.90,38.66
Qwen3-VL-4B-Instruct,open,base,49.17,44.47,51.66,44.98,54.03,42.96,45.60
Qwen3-VL-4B-Thinking,open,base,47.42,44.39,51.51,44.73,56.87,47.02,46.58
Qwen3-VL-8B-Instruct,open,base,49.82,44.51,57.40,44.81,60.66,43.08,46.34
Qwen3-VL-8B-Thinking,open,base,44.48,45.64,52.42,42.26,60.19,47.49,46.45
Qwen3-VL-30B-A3B-Instruct,open,base,50.55,44.99,56.50,44.32,59.72,45.22,47.06
Qwen3-VL-32B-Thinking,open,base,49.26,49.80,58.76,49.34,60.19,46.04,49.58
LLaVA-OneVision-1.5-4B-Instruct,open,base,42.17,42.78,51.21,41.60,52.13,43.73,43.75
LLaVA-OneVision-1.5-8B-Instruct,open,base,39.59,44.15,50.60,42.42,51.18,45.18,44.30
MiniCPM-V-4,open,base,43.92,40.13,47.73,38.55,35.55,40.39,40.99
InternVL3-8B,open,base,43.00,42.94,52.27,41.43,42.18,43.25,43.56
ERNIE-4.5-VL-28B-A3B-Thinking,open,base,41.34,40.17,51.66,40.28,57.35,41.22,42.58
LLaVA-NeXT-Video-7B,open,base,6.26,10.28,8.91,16.05,2.84,13.66,11.30
Spatial-MLLM,open,base,10.04,14.44,26.74,22.80,9.48,13.83,15.81
ViCA2-7B,open,base,9.67,15.24,27.79,23.97,14.69,13.92,16.45
ISI-8B-Instruct,open,sft,46.59,43.01,56.50,43.46,50.24,43.64,45.06
Escher-7B-Instruct,open,sft,47.61,48.88,62.08,48.89,53.55,45.31,48.89
Escher-4B-Instruct,open,sft,49.72,48.59,61.63,47.33,52.61,47.71,49.49
Escher-4B-Thinking,open,sft,48.07,47.55,61.33,47.32,53.08,46.38,48.54
Escher-8B-Instruct,open,sft,46.96,49.80,63.60,48.31,56.87,47.50,49.85
Escher-8B-Thinking,open,sft,46.04,48.67,62.84,48.64,60.19,45.22,48.79
qwen3-vl-plus,closed,base,44.38,43.21,55.52,44.61,57.82,42.38,44.75
GPT5,closed,base,52.24,53.28,64.66,50.41,67.99,50.58,53.36
Gemini-2.5-flash,closed,base,53.13,51.71,65.01,49.22,65.88,48.91,52.19
Gemini-2.5-pro,closed,base,56.17,57.29,69.53,54.20,73.11,54.39,57.26
