model,model_group,training_regime,group_1_c1_c5_equal_category_weight,group_2_c2_c4_equal_category_weight,group_3_c3_c6_equal_category_weight,group_1_c1_c5_item_count_weighted,group_2_c2_c4_item_count_weighted,group_3_c3_c6_item_count_weighted,overall
Qwen3-VL-2B-Instruct,open,base,39.61,38.39,40.93,39.78,38.34,39.24,38.90
Qwen2.5-VL-3B-Instruct,open,base,41.84,40.44,43.64,40.01,39.93,41.69,40.61
Qwen2.5-VL-7B-Instruct,open,base,41.36,38.67,40.86,42.71,38.20,37.54,38.66
Qwen3-VL-4B-Instruct,open,base,51.60,44.72,47.31,49.96,44.64,44.88,45.60
Qwen3-VL-4B-Thinking,open,base,52.14,44.56,49.27,48.96,44.50,48.01,46.58
Qwen3-VL-8B-Instruct,open,base,55.24,44.66,50.24,51.58,44.61,46.24,46.34
Qwen3-VL-8B-Thinking,open,base,52.33,43.95,49.95,47.04,44.53,48.58,46.45
Qwen3-VL-30B-A3B-Instruct,open,base,55.13,44.66,50.86,52.04,44.77,47.71,47.06
Qwen3-VL-32B-Thinking,open,base,54.72,49.57,52.40,51.04,49.65,48.85,49.58
LLaVA-OneVision-1.5-4B-Instruct,open,base,47.15,42.19,47.47,43.79,42.39,45.38,43.75
LLaVA-OneVision-1.5-8B-Instruct,open,base,45.39,43.28,47.89,41.48,43.58,46.38,44.30
MiniCPM-V-4,open,base,39.73,39.34,44.06,42.56,39.61,42.01,40.99
InternVL3-8B,open,base,42.59,42.19,47.76,42.87,42.44,45.24,43.56
ERNIE-4.5-VL-28B-A3B-Thinking,open,base,49.34,40.23,46.44,43.94,40.21,43.53,42.06
LLaVA-NeXT-Video-7B,open,base,4.55,13.16,11.29,5.70,12.17,12.61,11.30
Spatial-MLLM,open,base,9.76,18.62,20.29,9.95,17.18,16.68,15.81
ViCA2-7B,open,base,12.18,19.61,20.86,10.49,18.10,16.98,16.45
ISI-8B-Instruct,open,sft,48.42,43.23,50.07,47.18,43.16,46.48,45.06
Escher-7B-Instruct,open,sft,50.58,48.89,53.70,48.58,48.88,49.01,48.89
Escher-4B-Instruct,open,sft,51.16,47.96,54.67,50.19,48.18,50.78,49.49
Escher-4B-Thinking,open,sft,50.58,47.44,53.86,48.89,47.47,49.68,48.54
Escher-8B-Instruct,open,sft,51.91,49.05,55.55,48.57,49.31,51.06,49.85
Escher-8B-Thinking,open,sft,53.11,48.66,54.03,48.34,48.66,49.11,48.79
qwen3-vl-plus,closed,base,51.10,43.91,48.95,46.57,43.67,45.28,44.75
GPT5,closed,base,60.11,51.84,57.62,54.80,52.34,53.69,53.24
Gemini-2.5-flash,closed,base,59.50,50.47,56.96,55.20,50.89,52.47,52.19
Gemini-2.5-pro,closed,base,64.64,55.75,61.96,58.93,56.28,57.73,57.26
