scope_item_id,author_id,audit_item_id,proposal_no
scope-0001,author_a,audit-0023,3
scope-0002,author_a,audit-0084,2
scope-0003,author_a,audit-0106,1
scope-0004,author_b,audit-0048,2
scope-0005,author_b,audit-0033,2
scope-0006,author_b,audit-0071,1
scope-0007,author_b,audit-0101,3
scope-0008,author_a,audit-0023,1
scope-0009,author_a,audit-0097,3
scope-0010,author_a,audit-0031,1
scope-0011,author_b,audit-0011,2
scope-0012,author_a,audit-0014,1
scope-0013,author_b,audit-0117,1
scope-0014,author_b,audit-0067,1
scope-0015,author_b,audit-0101,1
scope-0016,author_a,audit-0055,1
scope-0017,author_a,audit-0017,3
scope-0018,author_b,audit-0053,3
scope-0019,author_a,audit-0043,3
scope-0020,author_a,audit-0102,2
scope-0021,author_b,audit-0077,1
scope-0022,author_b,audit-0036,2
scope-0023,author_b,audit-0044,2
scope-0024,author_b,audit-0059,1
scope-0025,author_a,audit-0009,3
scope-0026,author_a,audit-0096,1
scope-0027,author_a,audit-0096,2
scope-0028,author_a,audit-0076,1
scope-0029,author_b,audit-0004,3
scope-0030,author_b,audit-0107,3
scope-0031,author_a,audit-0017,2
scope-0032,author_a,audit-0049,1
scope-0033,author_b,audit-0084,3
scope-0034,author_b,audit-0070,2
scope-0035,author_a,audit-0055,3
scope-0036,author_a,audit-0104,1
scope-0037,author_b,audit-0105,1
scope-0038,author_a,audit-0071,3
scope-0039,author_b,audit-0038,2
scope-0040,author_b,audit-0078,2
scope-0041,author_b,audit-0047,1
scope-0042,author_b,audit-0025,2
scope-0043,author_b,audit-0099,2
scope-0044,author_b,audit-0081,3
scope-0045,author_b,audit-0076,2
scope-0046,author_b,audit-0013,1
scope-0047,author_a,audit-0046,3
scope-0048,author_b,audit-0066,2
scope-0049,author_b,audit-0039,3
scope-0050,author_b,audit-0111,1
scope-0051,author_b,audit-0026,3
scope-0052,author_b,audit-0074,3
scope-0053,author_b,audit-0108,3
scope-0054,author_b,audit-0034,1
scope-0055,author_b,audit-0021,1
scope-0056,author_b,audit-0102,1
scope-0057,author_b,audit-0027,1
scope-0058,author_b,audit-0056,1
scope-0059,author_a,audit-0061,1
scope-0060,author_b,audit-0062,2
scope-0061,author_a,audit-0044,2
scope-0062,author_b,audit-0051,1
scope-0063,author_a,audit-0117,1
scope-0064,author_a,audit-0048,3
scope-0065,author_a,audit-0082,3
scope-0066,author_b,audit-0079,3
scope-0067,author_b,audit-0038,1
scope-0068,author_a,audit-0104,2
scope-0069,author_b,audit-0086,1
scope-0070,author_b,audit-0084,1
scope-0071,author_b,audit-0010,1
scope-0072,author_a,audit-0107,3
scope-0073,author_a,audit-0086,1
scope-0074,author_a,audit-0001,2
scope-0075,author_b,audit-0037,2
scope-0076,author_a,audit-0043,2
scope-0077,author_b,audit-0003,3
scope-0078,author_a,audit-0100,2
scope-0079,author_a,audit-0031,3
scope-0080,author_b,audit-0119,1
scope-0081,author_a,audit-0114,3
scope-0082,author_a,audit-0080,1
scope-0083,author_b,audit-0108,1
scope-0084,author_b,audit-0060,3
scope-0085,author_b,audit-0019,2
scope-0086,author_a,audit-0057,2
scope-0087,author_b,audit-0019,1
scope-0088,author_a,audit-0118,1
scope-0089,author_b,audit-0057,3
scope-0090,author_b,audit-0063,1
scope-0091,author_a,audit-0110,3
scope-0092,author_b,audit-0011,1
scope-0093,author_a,audit-0025,2
scope-0094,author_b,audit-0095,2
scope-0095,author_b,audit-0095,3
