candidate_pair_id,source_group,pair_type,video,question_type_match,qwen3vl8b_arm_a_correct,qwen3vl8b_arm_b_correct,qwen25vl7b_arm_a_correct,qwen25vl7b_arm_b_correct,qwen3vl2b_arm_a_correct,qwen3vl2b_arm_b_correct,internvl3_2b_arm_a_correct,internvl3_2b_arm_b_correct
pair-cag-012-p01,new100,camera_vs_actor_goal,ixmQzysi2sc_19_0_02_16_369_to_0_02_28_314.mp4,no,1,0,0,0,0,0,1,0
pair-cag-017-p01,old154,camera_vs_actor_goal,mpBi6mumey8_22_0_04_43_000_to_0_05_06_279.mp4,no,1,1,0,1,1,1,0,1
pair-cag-022-p01,new100,camera_vs_actor_goal,fg5OKg5ul3A_37_0_06_15_408_to_0_06_34_227.mp4,no,0,1,0,1,0,1,0,1
pair-cag-034-p01,old154,camera_vs_actor_goal,hIjz8pSczC4_27_0_05_04_633_to_0_05_15_066.mp4,yes,0,1,1,1,1,1,1,1
pair-cag-038-p01,old154,camera_vs_actor_goal,WrTTfmkKQsM_46_0_08_03_524_to_0_08_15_119.mp4,yes,1,0,0,0,0,0,0,0
pair-cag-041-p01,old154,camera_vs_actor_goal,W9QkkriBjhY_23_0_03_16_863_to_0_03_31_511.mp4,no,1,0,1,1,0,1,0,1
pair-cag-052-p01,old154,camera_vs_actor_goal,N0b5SvS9k0E_66_0_12_19_238_to_0_12_50_803.mp4,yes,1,1,1,1,1,0,0,1
pair-cag-058-p01,new100,camera_vs_actor_goal,k6I2H0q9XqY_17_0_08_09_722_to_0_09_19_792.mp4,no,0,1,0,0,0,0,0,0
pair-cag-067-p01,old154,camera_vs_actor_goal,f7T2ae69WOQ_5_0_00_33_533_to_0_00_46_613.mp4,no,0,1,1,0,1,1,0,0
pair-cag-075-p01,new100,camera_vs_actor_goal,jIPqc85BUP8_12_0_02_46_533_to_0_03_04_784.mp4,yes,1,1,1,1,1,1,1,0
pair-cag-077-p01,new100,camera_vs_actor_goal,JrX0VqYTkN8_2_0_00_28_433_to_0_00_39_833.mp4,yes,0,0,0,0,0,0,1,1
pair-cag-096-p01,old154,camera_vs_actor_goal,RMZP7h6_zKg_1_0_00_07_073_to_0_00_19_285.mp4,no,0,1,0,1,0,1,0,0
pair-cag-098-p01,old154,camera_vs_actor_goal,iZ-iVMl3Y9U_43_0_05_33_104_to_0_05_45_189.mp4,no,1,1,0,1,1,1,0,1
pair-cag-107-p01,old154,camera_vs_actor_goal,v9lTwOyEhd8_31_0_09_28_559_to_0_09_41_480.mp4,no,1,1,1,0,1,1,1,1
pair-cag-108-p01,old154,camera_vs_actor_goal,k-8PbpDu9Vg_11_0_03_07_831_to_0_03_35_789.mp4,no,0,1,0,0,0,1,1,1
pair-cag-109-p01,new100,camera_vs_actor_goal,kuJpEZs6Zmo_56_0_06_57_083_to_0_07_13_266.mp4,no,1,0,0,0,0,0,0,1
pair-cag-112-p01,old154,camera_vs_actor_goal,nou8vk6lUoo_102_0_37_55_642_to_0_38_22_769.mp4,no,0,1,0,0,0,0,1,0
pair-dvi-005-p01,new100,dynamic_vs_intent,hEpf9WmuyzM_18_0_02_08_166_to_0_02_21_300.mp4,no,1,1,1,1,1,1,0,0
pair-dvi-022-p01,old154,dynamic_vs_intent,muDm3wlpGkk_55_0_08_21_267_to_0_08_33_679.mp4,no,1,0,0,1,0,0,1,0
pair-dvi-037-p01,new100,dynamic_vs_intent,lHnZ_JC87CQ_22_0_02_59_145_to_0_03_12_926.mp4,no,0,0,0,1,0,0,1,0
pair-dvi-059-p01,old154,dynamic_vs_intent,gYjQ1MJxwOI_28_0_04_56_045_to_0_05_06_764.mp4,yes,1,1,0,1,0,0,0,1
pair-dvi-061-p01,old154,dynamic_vs_intent,lu_LzB3CD-w_45_0_07_16_060_to_0_07_32_368.mp4,no,0,0,1,0,1,1,0,0
pair-dvi-063-p01,old154,dynamic_vs_intent,r7fOGBv-GjI_20_0_06_58_560_to_0_07_24_680.mp4,no,0,0,0,0,0,0,0,1
pair-dvi-067-p02,old154,dynamic_vs_intent,hac-PvKqKQc_13_0_04_26_966_to_0_04_40_980.mp4,no,1,1,0,0,1,1,1,0
pair-dvi-086-p01,old154,dynamic_vs_intent,jEcdle5_AGE_3_0_00_15_839_to_0_00_28_480.mp4,yes,1,1,1,1,0,0,1,1
pair-dvi-093-p01,new100,dynamic_vs_intent,JxlY11io7Ao_78_0_09_03_200_to_0_09_13_240.mp4,no,0,1,0,0,0,0,0,1
pair-dvi-095-p01,new100,dynamic_vs_intent,fpseuY3g4Dk_57_0_14_04_633_to_0_14_26_299.mp4,yes,1,1,0,1,0,1,0,1
pair-dvi-100-p01,new100,dynamic_vs_intent,uE5UW9-JBkQ_17_0_02_47_566_to_0_02_58_433.mp4,no,0,0,0,1,0,1,1,0
pair-dvi-108-p01,new100,dynamic_vs_intent,NWLjE_iO9EM_22_0_03_13_193_to_0_03_28_541.mp4,yes,0,1,0,0,0,0,0,0
pair-dvi-112-p01,new100,dynamic_vs_intent,jj6U-NZt5Ao_47_0_07_38_425_to_0_07_54_981.mp4,yes,0,1,0,1,0,1,0,1
pair-dvi-118-p01,new100,dynamic_vs_intent,jxhR1Ci3grE_80_0_16_25_233_to_0_16_41_233.mp4,no,1,1,0,1,1,1,0,1
pair-dvi-122-p01,old154,dynamic_vs_intent,iZERK_7x5g0_4_0_01_58_384_to_0_02_11_064.mp4,no,0,1,1,1,1,1,1,1
pair-dvi-127-p01,new100,dynamic_vs_intent,mvOPHSbuIpg_15_0_02_42_295_to_0_03_09_522.mp4,no,1,1,1,1,1,1,1,0
pair-dvi-136-p01,old154,dynamic_vs_intent,Yh13l47ibVs_56_0_08_53_132_to_0_09_09_615.mp4,no,0,0,0,0,1,0,1,1
pair-tvp-002-p01,old154,tracking_vs_prediction,cz2_0OgZRHY_3_0_00_13_713_to_0_00_28_228.mp4,no,1,0,1,1,1,1,1,1
pair-tvp-011-p01,new100,tracking_vs_prediction,jw3jWYOFwMs_1_0_00_22_787_to_0_00_46_209.mp4,no,1,1,1,1,0,1,1,1
pair-tvp-023-p01,new100,tracking_vs_prediction,Kmuj9dKSbUY_23_0_04_59_800_to_0_05_12_633.mp4,yes,1,1,0,0,0,0,0,0
pair-tvp-026-p01,old154,tracking_vs_prediction,dhlAKesCZLM_42_0_04_59_098_to_0_05_25_725.mp4,no,0,0,0,0,0,0,1,0
pair-tvp-040-p01,old154,tracking_vs_prediction,jxs9pxgjm8c_5_0_01_53_733_to_0_02_25_333.mp4,no,0,1,0,0,1,1,1,0
pair-tvp-059-p01,old154,tracking_vs_prediction,QS9lwh6o52E_33_0_02_36_400_to_0_02_46_960.mp4,yes,0,0,0,0,0,0,0,0
pair-tvp-061-p01,old154,tracking_vs_prediction,h4bKXqSS9jE_80_0_08_48_159_to_0_09_11_759.mp4,no,1,0,1,1,0,0,0,0
pair-tvp-069-p01,old154,tracking_vs_prediction,vB_gMb0MIsg_25_0_04_45_500_to_0_04_58_833.mp4,no,1,0,1,0,1,0,0,0
pair-tvp-109-p01,new100,tracking_vs_prediction,j2lWAsigpGk_36_0_07_41_794_to_0_07_53_606.mp4,yes,0,0,0,0,1,1,1,1
pair-tvp-112-p01,old154,tracking_vs_prediction,jljzMDL2crA_5_0_00_59_058_to_0_01_12_505.mp4,no,1,1,1,0,1,0,0,0
pair-tvp-128-p01,old154,tracking_vs_prediction,TxyMXwAW9nA_30_0_03_26_973_to_0_03_38_518.mp4,no,1,0,1,0,1,0,0,0
pair-tvp-135-p01,old154,tracking_vs_prediction,pq-vPb21yt0_18_0_02_44_066_to_0_02_59_400.mp4,no,0,1,0,0,0,1,0,1
pair-tvp-136-p01,new100,tracking_vs_prediction,uqHlvFbDTaM_38_0_06_38_798_to_0_06_48_842.mp4,no,1,0,0,0,0,0,0,1
pair-tvp-144-p01,old154,tracking_vs_prediction,ppIkW4suSv4_19_0_03_43_523_to_0_03_57_770.mp4,no,0,1,0,0,0,0,1,0
pair-tvp-145-p01,old154,tracking_vs_prediction,OJc4Bulq5gs_70_0_11_55_115_to_0_12_11_698.mp4,yes,0,1,0,1,0,1,0,0
pair-tvp-149-p01,new100,tracking_vs_prediction,i-bFdd_h5n8_15_0_05_27_326_to_0_05_49_716.mp4,no,0,1,0,1,0,0,0,1
